Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=130,2011,2022,hourly,,SAN JOAQUIN R,FRESNO,,130,-120.539028,37.023313,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=131,2011,2016,hourly,,SAN JOAQUIN R,FRESNO,,142,-120.6829,37.1861,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=132,2019,2022,hourly,,SAN JOAQUIN R,FRESNO,,225,-120.539028,37.023313,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=133,2016,2022,hourly,,SAN JOAQUIN R,FRESNO,,49B,-120.2702,36.7712,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=134,2020,2022,event,,ALAMEDA CR,SANTA CLARA,,ACD,-121.773567,37.497437,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=135,1998,2022,hourly,,AMERICAN R,SACRAMENTO,,AFD,-121.1667,38.6883,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=136,1998,2022,event,,AMERICAN R,SACRAMENTO,,AFO,-121.22773,38.63546,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=137,2001,2020,event,,AMERICAN R,SACRAMENTO,,AHZ,-121.224,38.636,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=138,2007,2008,hourly,,AMERICAN R,SACRAMENTO,,AHZ,-121.224,38.636,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=139,2007,2022,event,,ALAMEDA CR,ALAMEDA,,ALN,-121.960793,37.587158,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=140,1999,2018,hourly,,DELTA,CONTRA COSTA,,ANC,-121.802965,38.017817,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=141,2015,2022,event,,SACRAMENTO R,SHASTA,,AND,-122.29536,40.471333,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=142,2002,2022,daily,,SAN JOAQUIN R,CONTRA COSTA,,ANH,-121.802963,38.01783,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=143,1995,2022,hourly,,SAN JOAQUIN R,CONTRA COSTA,,ANH,-121.802963,38.01783,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=144,2007,2022,hourly,,AMERICAN R,SACRAMENTO,,AWB,-121.387,38.567,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=145,1998,2022,event,,AMERICAN R,SACRAMENTO,,AWB,-121.387,38.567,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=146,2001,2022,event,,AMERICAN R,SACRAMENTO,,AWP,-121.332,38.591,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=147,2015,2015,hourly,,BUTTE CR,BUTTE,,B01,-121.787979,39.511768,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=148,2015,2015,hourly,,BUTTE CR,BUTTE,,B02,-121.787979,39.511768,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=149,2015,2015,hourly,,BUTTE CR,BUTTE,,B03,-121.787979,39.511768,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=150,2015,2015,hourly,,BUTTE CR,BUTTE,,B04,-121.70258,39.581272,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=151,2015,2015,hourly,,BUTTE CR,BUTTE,,B05,-121.70258,39.581272,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=152,2015,2015,hourly,,BUTTE CR,BUTTE,,B06,-121.70258,39.581272,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=153,2015,2015,hourly,,BUTTE CR,BUTTE,,B07,-121.814422,39.673446,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=154,2015,2015,hourly,,BUTTE CR,BUTTE,,B08,-121.814422,39.673446,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=155,2015,2015,hourly,,BUTTE CR,BUTTE,,B09,-121.814422,39.673446,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=156,2008,2022,hourly,,DELTA,SAN JOAQUIN,,BAC,-121.572174,37.969345,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=157,2000,2022,hourly,,SACRAMENTO R,TEHAMA,,BAS,-121.980675,40.405804,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=158,2010,2022,event,,SACRAMENTO R,TEHAMA,,BBQ,-122.3239,39.8186,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=159,2013,2022,event,,BUTTE CR,BUTTE,,BBW,-121.610329,39.885731,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=160,1998,2022,hourly,,BUTTE CR,BUTTE,,BBW,-121.610329,39.885731,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=161,1998,2022,hourly,,BUTTE CR,BUTTE,,BCD,-121.777481,39.678013,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=162,1998,2022,hourly,,BUTTE CR,BUTTE,,BCK,-121.708862,39.725994,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=163,2010,2022,event,,CHOWCHILLA R,MADERA,,BCQ,-119.9903,37.2156,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=164,2008,2022,hourly,,SACRAMENTO R,SOLANO,,BDL,-121.9708,38.1869,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=165,2005,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,BDT,-121.3231,37.865,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=166,2006,2022,event,,DELTA,CONTRA COSTA,,BET,-121.632187,38.041092,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=167,1998,2014,hourly,,SACRAMENTO R,BUTTE,,BIC,-121.778603,39.768417,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=168,2018,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,BIR,-121.53389,37.943056,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=169,1989,2022,daily,,DELTA,SOLANO,,BKS,-121.7965,38.2759,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=170,1989,2022,hourly,,DELTA,SOLANO,,BKS,-121.7965,38.2759,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=171,2009,2019,event,,SACRAMENTO R,SOLANO,,BLL,-121.9069,38.1801,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=172,2005,2019,hourly,,SACRAMENTO R,SOLANO,,BLL,-121.9069,38.1801,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=173,2010,2022,event,,DELTA,CONTRA COSTA,,BLP,-121.71904,38.032452,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=174,1989,2022,hourly,,SACRAMENTO R,TEHAMA,,BND,-122.186661,40.288486,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=175,1999,2022,hourly,,SACRAMENTO R,TEHAMA,,BNF,-121.986946,40.424332,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=176,2013,2017,event,,BEAR R,PLACER,,BRE,-120.953,39.133,,,logger,yes,
